OpenJDK 64-Bit Server VM (25.362-b08) for linux-amd64 JRE (1.8.0_362-b08), built on Jan 25 2023 16:43:50 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
Memory: 4k page, physical 58720256k(58713180k free), swap 0k(0k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/opt/CA/itoa/ade/logs/heap_dump.bin -XX:InitialHeapSize=268435456 -XX:MaxHeapFreeRatio=70 -XX:MaxHeapSize=42949672960 -XX:MinHeapFreeRatio=10 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2023-04-09T19:11:41.827+0000: 67.247: [GC (Allocation Failure) [PSYoungGen: 43332K->5184K(98304K)] 221022K->187745K(435200K), 0.0304738 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2023-04-09T19:11:42.068+0000: 67.488: [GC (Allocation Failure) [PSYoungGen: 48704K->20128K(99840K)] 231265K->207785K(436736K), 0.0376997 secs] [Times: user=0.19 sys=0.00, real=0.04 secs] 
2023-04-09T19:11:42.405+0000: 67.824: [GC (Allocation Failure) [PSYoungGen: 71840K->7040K(102400K)] 259497K->214737K(439296K), 0.0516813 secs] [Times: user=0.34 sys=0.01, real=0.05 secs] 
2023-04-09T19:11:42.752+0000: 68.172: [GC (Allocation Failure) [PSYoungGen: 58752K->6976K(108032K)] 266449K->221577K(444928K), 0.0376087 secs] [Times: user=0.16 sys=0.01, real=0.03 secs] 
2023-04-09T19:11:43.131+0000: 68.551: [GC (Allocation Failure) [PSYoungGen: 68928K->8288K(109568K)] 283529K->229777K(446464K), 0.0393495 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
2023-04-09T19:11:43.513+0000: 68.932: [GC (Allocation Failure) [PSYoungGen: 70240K->8384K(116224K)] 291729K->238129K(453120K), 0.0440885 secs] [Times: user=0.19 sys=0.00, real=0.04 secs] 
2023-04-09T19:11:43.980+0000: 69.400: [GC (Allocation Failure) [PSYoungGen: 82624K->9952K(118272K)] 312369K->247977K(455168K), 0.0514209 secs] [Times: user=0.23 sys=0.01, real=0.06 secs] 
2023-04-09T19:11:44.449+0000: 69.869: [GC (Allocation Failure) [PSYoungGen: 84192K->10016K(120832K)] 322217K->257937K(457728K), 0.0557248 secs] [Times: user=0.23 sys=0.01, real=0.06 secs] 
2023-04-09T19:11:44.966+0000: 70.386: [GC (Allocation Failure) [PSYoungGen: 92960K->11200K(122368K)] 340881K->269009K(459264K), 0.0570066 secs] [Times: user=0.26 sys=0.00, real=0.06 secs] 
2023-04-09T19:11:45.514+0000: 70.933: [GC (Allocation Failure) [PSYoungGen: 94144K->11104K(125440K)] 351953K->279953K(462336K), 0.0585515 secs] [Times: user=0.22 sys=0.01, real=0.06 secs] 
